Unmechanical	Gold
Incredipede	Platinum
Europa Universalis III	Gold
Eets	Platinum
Cibele	Platinum
Goat Simulator	Gold
The Walking Dead	Platinum
System Shock 2	Platinum
Dungeon Siege	Platinum
Hitman: Contracts	Platinum
Vampire: The Masquerade - Bloodlines	Platinum
Multiwinia	Gold
Icewind Dale	Platinum
Spelunky	Platinum
Deus Ex: Human Revolution	Gold
Wargame: European Escalation	Gold
Orcs Must Die!	Platinum
Infernal	Platinum
Gratuitous Space Battles	Platinum
Left 4 Dead 2	Platinum
Shank	Gold
Windosill	Platinum
Jurassic Park: The Game	Platinum
X-COM: Apocalypse	Gold
Full Spectrum Warrior: Ten Hammers	Platinum
And Yet It Moves	Platinum
X3: Reunion	Gold
Titan Quest	Platinum
Infinifactory	Platinum
Command and Conquer 4: Tiberian Twilight	Platinum
Assassin's Creed	Platinum
Spacebase DF-9	Platinum
Tomb Raider	Platinum
LIMBO	Gold
Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood	Gold
Darksiders	Gold
Grand Theft Auto: Vice City	Gold
Always Sometimes Monsters	Platinum
Risen	Platinum
Giana Sisters: Twisted Dreams	Gold
Total War: ATTILA	Gold
ENSLAVED: Odyssey to the West	Gold
Dungeon Siege III	Platinum
Manhunt	Gold
Stellaris	Gold
Greed Corp	Platinum
Deus Ex: Invisible War	Gold
Portal	Gold
Poker Night 2	Gold
Crimsonland	Platinum
StarDrive	Gold
Darwinia	Gold
Dragon Age: Origins	Gold
Overlord	Platinum
Serious Sam HD: The Second Encounter	Platinum
Mark of the Ninja	Gold
FEAR 3	Platinum
The Book of Unwritten Tales: The Critter Chronicles	Platinum
Gas Guzzlers Extreme	Gold
Assassin's Creed Brotherhood	Platinum
Chaser	Platinum
Lilly Looking Through	Platinum
Desperados 2: Cooper's Revenge	Platinum
The Bureau: XCOM Declassified	Gold
Dungeons of Dredmor	Gold
Just Cause	Platinum
Time Gentlemen, Please!	Platinum
Warhammer 40,000: Dawn of War	Platinum
Dead Island	Platinum
Tomb Raider: Underworld	Platinum
Abyss Odyssey	Gold
STAR WARS Jedi Knight: Jedi Academy	Gold
Beat Hazard	Platinum
Alien Breed 2: Assault	Platinum
Beyond Good and Evil	Gold
Worms Pinball	Platinum
STAR WARS Battlefront II	Platinum
Deus Ex	Gold
Fable - The Lost Chapters	Gold
Pillars of Eternity	Platinum
XCOM: Enemy Unknown	Gold
Fallout 3	Platinum
Call of Duty 2	Platinum
Shadowgrounds	Platinum
Hard Reset	Platinum
Worms Armageddon	Gold
Overgrowth	Platinum
Project: Snowblind	Platinum
Samorost 2	Platinum
Tomb Raider: Anniversary	Platinum
Company of Heroes	Platinum
Torment: Tides of Numenera	Platinum
South Park: The Stick of Truth	Gold
Command and Conquer: Red Alert 3	Platinum
Game Character Hub	Platinum
Kingdom Rush	Gold
Call of Duty	Platinum
Unity of Command	Platinum
STAR WARS: Knights of the Old Republic	Platinum
Firewatch	Gold
Serious Sam Classic: The Second Encounter	Platinum
Lumino City	Platinum
Batman: Arkham Asylum	Gold
Poker Night at the Inventory	Gold
Cinders	Platinum
Tales of Monkey Island: Chapter 1 - Launch of the Screaming Narwhal	Platinum
The Shivah	Platinum
Risk of Rain	Gold
Assassin's Creed II	Platinum
Commandos: Beyond the Call of Duty	Platinum
Never Alone	Gold
Napoleon: Total War	Gold
Max Payne 3	Platinum
Two Worlds	Gold
Thirty Flights of Loving	Platinum
The Witcher 2: Assassins of Kings	Gold
Atom Zombie Smasher	Platinum
Crusader Kings II	Platinum
The Blackwell Legacy	Platinum
Scribblenauts Unlimited	Gold
Expeditions: Conquistador	Platinum
Kane and Lynch: Dead Men	Gold
Rome: Total War	Platinum
Euro Truck Simulator 2	Platinum
Starseed Pilgrim	Platinum
Solar 2	Gold
Ziggurat	Platinum
Portal 2	Platinum
Men of War: Assault Squad	Platinum
